ArchiveID,FileType,AccessFrequency,StorageCondition,BackupStatus,InitialFiles,CorruptionRisk,YearsStored
AR3001,Videos,14,Medium,Yes,429,0.14,12
AR3002,Emails,2,Good,No,364,0.11,14
AR3003,Videos,22,Medium,No,4050,0.14,12
AR3004,SystemLogs,5,Medium,Yes,1792,0.1,14
AR3005,Chats,5,Good,No,3444,0.13,14
AR3006,Photos,10,Good,No,1863,0.05,7
AR3007,Chats,11,Medium,No,2310,0.06,2
AR3008,Documents,22,Medium,No,1915,0.14,4
AR3009,Emails,4,Medium,No,966,0.14,14
AR3010,Documents,8,Poor,No,3411,0.05,14
AR3011,Emails,13,Medium,Yes,4854,0.14,4
AR3012,Chats,14,Good,No,144,0.03,14
AR3013,Documents,24,Good,No,2266,0.04,15
AR3014,Videos,19,Medium,Yes,1430,0.06,10
AR3015,Photos,16,Medium,Yes,4504,0.02,3
AR3016,Audio,15,Poor,Yes,1637,0.11,1
AR3017,SystemLogs,11,Medium,Yes,1614,0.14,4
AR3018,Videos,24,Medium,No,4504,0.11,1
AR3019,Audio,16,Poor,No,1420,0.15,8
AR3020,Chats,25,Good,Yes,1741,0.08,6
AR3021,CloudBackups,14,Medium,No,4413,0.01,1
AR3022,SystemLogs,17,Good,No,3593,0.08,9
AR3023,Audio,8,Good,No,3798,0.05,7
AR3024,Audio,8,Good,Yes,120,0.15,8
AR3025,Videos,17,Good,No,931,0.13,6
AR3026,Videos,2,Good,Yes,3898,0.06,2
AR3027,Chats,1,Poor,No,3221,0.01,7
AR3028,Emails,13,Good,No,355,0.11,14
AR3029,Videos,7,Medium,No,4497,0.07,13
AR3030,SystemLogs,7,Poor,Yes,3109,0.09,4
AR3031,Emails,18,Good,Yes,4714,0.01,6
AR3032,Emails,18,Medium,Yes,2939,0.15,5
AR3033,CloudBackups,11,Good,Yes,1307,0.1,1
AR3034,Photos,6,Good,No,4801,0.14,1
AR3035,Audio,7,Poor,No,400,0.14,10
AR3036,SystemLogs,15,Good,No,3435,0.14,10
AR3037,CloudBackups,3,Good,No,4554,0.03,2
AR3038,Chats,3,Good,Yes,286,0.06,14
AR3039,Videos,19,Poor,Yes,3991,0.01,11
AR3040,Documents,2,Medium,No,637,0.12,1
AR3041,Audio,22,Poor,No,188,0.09,14
AR3042,CloudBackups,23,Medium,No,1301,0.08,10
AR3043,Emails,22,Good,No,4937,0.06,9
AR3044,Emails,25,Medium,Yes,1145,0.06,9
AR3045,Documents,4,Medium,No,4990,0.12,15
AR3046,Emails,10,Medium,No,1122,0.12,6
AR3047,Photos,13,Poor,No,1558,0.14,7
AR3048,SystemLogs,23,Medium,Yes,1017,0.08,15
AR3049,Documents,1,Poor,Yes,1600,0.13,14
AR3050,Photos,11,Medium,Yes,821,0.1,4
AR3051,Audio,2,Medium,Yes,841,0.07,8
AR3052,Audio,4,Poor,Yes,1531,0.1,14
AR3053,Videos,8,Poor,Yes,3524,0.02,4
AR3054,Chats,8,Good,Yes,366,0.15,4
AR3055,Audio,14,Medium,Yes,4231,0.06,11
AR3056,Documents,9,Medium,Yes,3194,0.14,13
AR3057,Documents,12,Medium,No,4222,0.08,4
AR3058,Chats,23,Good,Yes,4334,0.11,5
AR3059,Photos,10,Good,Yes,1677,0.02,1
AR3060,Photos,20,Poor,Yes,1802,0.13,1
AR3061,Audio,5,Medium,Yes,2692,0.08,14
AR3062,CloudBackups,23,Medium,Yes,1833,0.07,7
AR3063,Emails,5,Poor,No,3635,0.08,5
AR3064,Videos,22,Poor,No,2410,0.01,15
AR3065,Emails,19,Poor,No,4398,0.01,9
AR3066,SystemLogs,8,Good,Yes,998,0.08,5
AR3067,Photos,12,Poor,No,2396,0.04,13
AR3068,Chats,3,Medium,Yes,1704,0.04,15
AR3069,SystemLogs,6,Medium,No,2346,0.09,7
AR3070,Videos,11,Good,No,3972,0.04,9
AR3071,SystemLogs,1,Good,Yes,2996,0.1,13
AR3072,Audio,20,Good,Yes,256,0.05,2
AR3073,Audio,11,Good,No,3862,0.02,2
AR3074,Chats,14,Poor,No,3869,0.12,12
AR3075,Emails,8,Good,No,2001,0.02,9
AR3076,Emails,20,Poor,No,193,0.01,5
AR3077,Documents,22,Medium,Yes,1639,0.07,12
AR3078,Videos,16,Good,No,2924,0.07,10
AR3079,SystemLogs,21,Good,Yes,1755,0.1,13
AR3080,Chats,7,Medium,No,4224,0.09,15
AR3081,SystemLogs,12,Good,No,4146,0.08,13
AR3082,Documents,9,Poor,No,3470,0.05,2
AR3083,Documents,4,Medium,Yes,1499,0.1,1
AR3084,Emails,7,Poor,No,2331,0.07,11
AR3085,Audio,5,Good,Yes,805,0.14,5
AR3086,Audio,14,Good,No,2959,0.03,2
AR3087,Audio,12,Poor,Yes,2252,0.01,12
AR3088,Videos,21,Poor,Yes,3110,0.05,15
AR3089,Documents,7,Poor,No,3360,0.05,10
AR3090,Chats,14,Poor,Yes,4559,0.08,5
AR3091,Audio,15,Poor,Yes,3631,0.09,12
AR3092,Emails,24,Good,No,1698,0.03,5
AR3093,Documents,14,Poor,Yes,1985,0.15,1
AR3094,Documents,13,Poor,No,3214,0.15,11
AR3095,Documents,6,Poor,No,2212,0.11,7
AR3096,Chats,23,Medium,Yes,1055,0.13,10
AR3097,Emails,21,Medium,Yes,3471,0.07,11
AR3098,SystemLogs,19,Poor,No,2005,0.09,11
AR3099,CloudBackups,9,Poor,Yes,3366,0.05,14
AR3100,Documents,22,Poor,Yes,813,0.11,4
